,RAW_AF7,RAW_AF8
0,817.55524,845.5199
1,829.07007,852.0998
2,820.8452,850.4548300000001
3,827.4251,853.7448
4,819.2002,850.4548300000001
5,827.4251,850.4548300000001
6,822.4902,855.3898
7,814.26526,848.8099
8,812.6203,850.4548300000001
9,814.26526,852.0998
10,815.9103,850.4548300000001
11,819.2002,852.0998
12,820.8452,847.16486
13,827.4251,853.7448
14,825.78015,850.4548300000001
15,819.2002,848.8099
16,832.36005,853.7448
17,815.9103,845.5199
18,822.4902,843.87494
19,815.9103,845.5199
20,814.26526,837.295
21,817.55524,838.94
22,825.78015,843.87494
23,815.9103,847.16486
24,825.78015,843.87494
25,822.4902,848.8099
26,815.9103,842.2299
27,820.8452,845.5199
28,810.9753,847.16486
29,824.13513,848.8099
30,825.78015,853.7448
31,819.2002,845.5199
32,819.2002,847.16486
33,809.3303,847.16486
34,809.3303,850.4548300000001
35,809.3303,850.4548300000001
36,820.8452,847.16486
37,822.4902,848.8099
38,809.3303,848.8099
39,814.26526,845.5199
40,824.13513,848.8099
41,812.6203,850.4548300000001
42,825.78015,847.16486
43,829.07007,850.4548300000001
44,810.9753,847.16486
45,812.6203,850.4548300000001
46,812.6203,848.8099
47,822.4902,850.4548300000001
48,812.6203,848.8099
49,819.2002,845.5199
50,820.8452,843.87494
51,822.4902,850.4548300000001
52,815.9103,842.2299
53,815.9103,845.5199
54,815.9103,845.5199
55,804.3954,842.2299
56,801.1054,840.5849599999999
57,810.9753,840.5849599999999
58,817.55524,842.2299
59,817.55524,840.5849599999999
60,820.8452,845.5199
61,810.9753,842.2299
62,814.26526,843.87494
63,812.6203,847.16486
64,806.04034,845.5199
65,801.1054,848.8099
66,809.3303,855.3898
67,815.9103,852.0998
68,812.6203,847.16486
69,809.3303,852.0998
70,812.6203,845.5199
71,812.6203,852.0998
72,815.9103,850.4548300000001
73,814.26526,852.0998
74,812.6203,852.0998
75,812.6203,852.0998
76,807.68536,852.0998
77,814.26526,847.16486
78,815.9103,845.5199
79,814.26526,843.87494
80,809.3303,845.5199
81,812.6203,852.0998
82,822.4902,852.0998
83,822.4902,847.16486
84,817.55524,850.4548300000001
85,812.6203,845.5199
86,815.9103,845.5199
87,814.26526,850.4548300000001
88,810.9753,850.4548300000001
89,809.3303,850.4548300000001
90,812.6203,850.4548300000001
91,809.3303,847.16486
92,807.68536,848.8099
93,815.9103,850.4548300000001
94,814.26526,853.7448
95,812.6203,855.3898
96,812.6203,852.0998
97,815.9103,848.8099
98,815.9103,853.7448
99,810.9753,852.0998
100,809.3303,847.16486
101,814.26526,850.4548300000001
102,815.9103,853.7448
103,815.9103,852.0998
104,819.2002,855.3898
105,819.2002,857.0347
106,812.6203,853.7448
107,817.55524,848.8099
108,817.55524,853.7448
109,814.26526,857.0347
110,817.55524,855.3898
111,815.9103,855.3898
112,812.6203,848.8099
113,812.6203,852.0998
114,804.3954,842.2299
115,806.04034,843.87494
116,807.68536,853.7448
117,809.3303,847.16486
118,812.6203,848.8099
119,814.26526,847.16486
120,817.55524,843.87494
121,815.9103,843.87494
122,812.6203,842.2299
123,817.55524,845.5199
124,822.4902,840.5849599999999
125,824.13513,837.295
126,822.4902,837.295
127,822.4902,837.295
128,825.78015,837.295
129,822.4902,838.94
130,824.13513,832.36005
131,824.13513,830.7151
132,820.8452,834.005
133,815.9103,834.005
134,817.55524,835.65
135,817.55524,840.5849599999999
136,814.26526,842.2299
137,817.55524,835.65
138,814.26526,840.5849599999999
139,814.26526,838.94
140,817.55524,840.5849599999999
141,817.55524,842.2299
142,820.8452,843.87494
143,824.13513,847.16486
144,829.07007,843.87494
145,827.4251,842.2299
146,815.9103,842.2299
147,815.9103,840.5849599999999
148,810.9753,837.295
149,812.6203,838.94
150,815.9103,840.5849599999999
151,815.9103,845.5199
152,817.55524,843.87494
153,817.55524,845.5199
154,815.9103,845.5199
155,819.2002,840.5849599999999
156,815.9103,842.2299
157,819.2002,847.16486
158,817.55524,847.16486
159,817.55524,847.16486
160,820.8452,850.4548300000001
161,817.55524,843.87494
162,815.9103,840.5849599999999
163,817.55524,845.5199
164,817.55524,845.5199
165,812.6203,845.5199
166,814.26526,847.16486
167,814.26526,847.16486
168,812.6203,848.8099
169,807.68536,845.5199
170,815.9103,843.87494
171,815.9103,843.87494
172,814.26526,843.87494
173,815.9103,848.8099
174,815.9103,850.4548300000001
175,810.9753,845.5199
176,815.9103,843.87494
177,814.26526,842.2299
178,814.26526,845.5199
179,819.2002,848.8099
180,812.6203,848.8099
181,819.2002,848.8099
182,820.8452,848.8099
183,809.3303,843.87494
184,819.2002,843.87494
185,812.6203,848.8099
186,810.9753,845.5199
187,820.8452,845.5199
188,827.4251,843.87494
189,825.78015,847.16486
190,830.7151,843.87494
191,835.65,840.5849599999999
192,835.65,843.87494
193,827.4251,847.16486
194,827.4251,845.5199
195,824.13513,840.5849599999999
196,822.4902,843.87494
197,817.55524,843.87494
198,817.55524,842.2299
199,822.4902,840.5849599999999
200,814.26526,840.5849599999999
201,820.8452,842.2299
202,822.4902,842.2299
203,820.8452,842.2299
204,819.2002,843.87494
205,822.4902,843.87494
206,822.4902,843.87494
207,822.4902,847.16486
208,822.4902,842.2299
209,820.8452,843.87494
210,817.55524,843.87494
211,819.2002,843.87494
212,819.2002,847.16486
213,814.26526,852.0998
214,817.55524,852.0998
215,819.2002,842.2299
216,812.6203,845.5199
217,817.55524,845.5199
218,819.2002,843.87494
219,812.6203,848.8099
220,812.6203,850.4548300000001
221,810.9753,845.5199
222,814.26526,842.2299
223,812.6203,842.2299
224,814.26526,843.87494
225,812.6203,847.16486
226,810.9753,847.16486
227,810.9753,852.0998
228,810.9753,848.8099
229,807.68536,842.2299
230,804.3954,847.16486
231,806.04034,845.5199
