,RAW_AF7,RAW_AF8
0,820.8452,855.3898
1,832.36005,857.0347
2,830.7151,857.0347
3,824.13513,853.7448
4,825.78015,853.7448
5,815.9103,852.0998
6,812.6203,852.0998
7,825.78015,850.4548300000001
8,820.8452,855.3898
9,819.2002,850.4548300000001
10,837.295,858.67975
11,822.4902,861.9697
12,829.07007,860.3247
13,830.7151,858.67975
14,819.2002,858.67975
15,825.78015,860.3247
16,819.2002,858.67975
17,815.9103,865.25964
18,817.55524,861.9697
19,822.4902,858.67975
20,812.6203,857.0347
21,819.2002,858.67975
22,814.26526,858.67975
23,809.3303,857.0347
24,810.9753,857.0347
25,824.13513,858.67975
26,815.9103,858.67975
27,815.9103,861.9697
28,820.8452,863.6147
29,817.55524,861.9697
30,825.78015,858.67975
31,827.4251,857.0347
32,830.7151,857.0347
33,829.07007,853.7448
34,822.4902,855.3898
35,822.4902,855.3898
36,810.9753,857.0347
37,822.4902,858.67975
38,819.2002,863.6147
39,812.6203,860.3247
40,820.8452,863.6147
41,810.9753,860.3247
42,806.04034,848.8099
43,830.7151,857.0347
44,815.9103,852.0998
45,838.94,855.3898
46,820.8452,858.67975
47,820.8452,855.3898
48,819.2002,855.3898
49,829.07007,858.67975
50,829.07007,861.9697
51,817.55524,855.3898
52,829.07007,863.6147
53,815.9103,858.67975
54,812.6203,852.0998
55,810.9753,858.67975
56,822.4902,855.3898
57,827.4251,857.0347
58,824.13513,860.3247
59,827.4251,861.9697
60,817.55524,860.3247
61,815.9103,858.67975
62,820.8452,860.3247
63,824.13513,863.6147
64,824.13513,863.6147
65,822.4902,868.5496
66,807.68536,855.3898
67,807.68536,852.0998
68,820.8452,857.0347
69,830.7151,853.7448
70,824.13513,857.0347
71,822.4902,863.6147
72,819.2002,863.6147
73,829.07007,858.67975
74,820.8452,853.7448
75,827.4251,852.0998
76,835.65,852.0998
77,810.9753,855.3898
78,815.9103,857.0347
79,819.2002,865.25964
80,819.2002,865.25964
81,815.9103,858.67975
82,810.9753,858.67975
83,815.9103,858.67975
84,819.2002,853.7448
85,825.78015,855.3898
86,814.26526,852.0998
87,824.13513,858.67975
88,809.3303,855.3898
89,814.26526,852.0998
90,814.26526,852.0998
91,820.8452,850.4548300000001
92,825.78015,857.0347
93,832.36005,857.0347
94,834.005,860.3247
95,824.13513,858.67975
96,827.4251,858.67975
97,817.55524,860.3247
98,830.7151,861.9697
99,815.9103,857.0347
100,827.4251,863.6147
101,817.55524,858.67975
102,812.6203,858.67975
103,815.9103,857.0347
104,832.36005,858.67975
105,832.36005,861.9697
106,827.4251,857.0347
107,815.9103,853.7448
108,822.4902,855.3898
109,817.55524,852.0998
110,815.9103,852.0998
111,834.005,865.25964
112,824.13513,857.0347
113,819.2002,857.0347
114,819.2002,860.3247
115,822.4902,861.9697
116,830.7151,863.6147
117,820.8452,855.3898
118,825.78015,860.3247
119,809.3303,857.0347
120,804.3954,857.0347
121,804.3954,858.67975
122,815.9103,865.25964
123,825.78015,866.9046599999999
124,819.2002,861.9697
125,824.13513,866.9046599999999
126,820.8452,865.25964
127,812.6203,852.0998
128,817.55524,853.7448
129,812.6203,857.0347
130,834.005,861.9697
131,829.07007,868.5496
132,820.8452,861.9697
133,834.005,861.9697
134,820.8452,860.3247
135,817.55524,857.0347
136,824.13513,855.3898
137,815.9103,852.0998
138,819.2002,853.7448
139,822.4902,857.0347
140,814.26526,860.3247
141,820.8452,853.7448
142,830.7151,860.3247
143,812.6203,853.7448
144,820.8452,853.7448
145,814.26526,853.7448
146,824.13513,855.3898
147,824.13513,855.3898
148,819.2002,852.0998
149,825.78015,860.3247
150,817.55524,853.7448
151,817.55524,852.0998
152,824.13513,853.7448
153,832.36005,857.0347
154,834.005,857.0347
155,822.4902,858.67975
156,814.26526,853.7448
157,824.13513,855.3898
158,815.9103,857.0347
159,817.55524,855.3898
160,822.4902,860.3247
161,820.8452,861.9697
162,822.4902,855.3898
163,824.13513,853.7448
164,835.65,858.67975
165,827.4251,858.67975
166,822.4902,860.3247
167,820.8452,861.9697
168,817.55524,858.67975
169,814.26526,857.0347
170,824.13513,861.9697
171,832.36005,861.9697
172,837.295,857.0347
173,822.4902,860.3247
174,825.78015,855.3898
175,829.07007,855.3898
176,809.3303,860.3247
177,834.005,860.3247
178,827.4251,858.67975
179,824.13513,857.0347
180,825.78015,857.0347
181,819.2002,857.0347
182,820.8452,852.0998
183,830.7151,858.67975
184,822.4902,852.0998
185,827.4251,850.4548300000001
186,840.5849599999999,858.67975
187,825.78015,857.0347
188,824.13513,855.3898
189,817.55524,853.7448
190,817.55524,857.0347
191,812.6203,855.3898
192,820.8452,850.4548300000001
193,832.36005,853.7448
194,830.7151,855.3898
195,834.005,855.3898
196,814.26526,855.3898
197,824.13513,861.9697
198,825.78015,857.0347
199,815.9103,848.8099
200,827.4251,847.16486
201,834.005,855.3898
202,819.2002,852.0998
203,830.7151,857.0347
204,834.005,861.9697
205,824.13513,855.3898
206,824.13513,855.3898
207,822.4902,852.0998
208,835.65,858.67975
209,815.9103,853.7448
210,825.78015,855.3898
211,822.4902,855.3898
212,827.4251,858.67975
213,815.9103,855.3898
214,815.9103,852.0998
215,822.4902,858.67975
216,810.9753,852.0998
217,817.55524,852.0998
218,829.07007,858.67975
219,832.36005,858.67975
220,830.7151,853.7448
221,824.13513,855.3898
222,809.3303,852.0998
223,824.13513,853.7448
224,814.26526,855.3898
225,817.55524,855.3898
226,832.36005,857.0347
227,820.8452,852.0998
228,825.78015,853.7448
229,810.9753,855.3898
230,809.3303,858.67975
231,812.6203,860.3247
232,810.9753,857.0347
233,820.8452,857.0347
234,820.8452,857.0347
235,822.4902,857.0347
236,832.36005,857.0347
237,824.13513,858.67975
238,834.005,866.9046599999999
239,819.2002,857.0347
240,827.4251,855.3898
241,817.55524,853.7448
242,812.6203,852.0998
243,835.65,857.0347
244,819.2002,860.3247
245,817.55524,861.9697
246,820.8452,858.67975
247,809.3303,860.3247
248,810.9753,858.67975
249,829.07007,857.0347
250,822.4902,857.0347
251,814.26526,852.0998
252,820.8452,852.0998
253,829.07007,855.3898
254,819.2002,860.3247
255,819.2002,855.3898
256,837.295,858.67975
257,822.4902,857.0347
258,815.9103,853.7448
259,829.07007,858.67975
260,825.78015,853.7448
261,824.13513,857.0347
262,820.8452,860.3247
263,819.2002,855.3898
264,817.55524,857.0347
265,814.26526,857.0347
266,807.68536,853.7448
267,815.9103,852.0998
268,819.2002,857.0347
269,819.2002,857.0347
270,819.2002,861.9697
271,822.4902,860.3247
272,822.4902,858.67975
273,822.4902,861.9697
274,837.295,861.9697
275,829.07007,857.0347
276,824.13513,863.6147
277,822.4902,861.9697
278,814.26526,853.7448
279,822.4902,860.3247
280,830.7151,857.0347
281,820.8452,857.0347
282,824.13513,855.3898
283,832.36005,860.3247
284,819.2002,860.3247
285,830.7151,858.67975
286,834.005,863.6147
287,815.9103,857.0347
288,825.78015,853.7448
289,820.8452,853.7448
290,812.6203,852.0998
291,814.26526,850.4548300000001
292,825.78015,853.7448
293,830.7151,858.67975
294,829.07007,855.3898
295,837.295,857.0347
