,RAW_AF7,RAW_AF8
0,829.07007,858.67975
1,819.2002,855.3898
2,835.65,865.25964
3,829.07007,855.3898
4,822.4902,855.3898
5,820.8452,855.3898
6,809.3303,850.4548300000001
7,815.9103,853.7448
8,817.55524,853.7448
9,822.4902,855.3898
10,824.13513,855.3898
11,830.7151,863.6147
12,817.55524,860.3247
13,820.8452,863.6147
14,824.13513,858.67975
15,825.78015,855.3898
16,835.65,866.9046599999999
17,824.13513,861.9697
18,827.4251,866.9046599999999
19,815.9103,858.67975
20,832.36005,860.3247
21,820.8452,858.67975
22,825.78015,857.0347
23,822.4902,855.3898
24,817.55524,853.7448
25,814.26526,852.0998
26,824.13513,848.8099
27,827.4251,853.7448
28,822.4902,850.4548300000001
29,835.65,850.4548300000001
30,820.8452,848.8099
31,827.4251,853.7448
32,812.6203,847.16486
33,814.26526,850.4548300000001
34,815.9103,847.16486
35,815.9103,845.5199
36,827.4251,853.7448
37,817.55524,848.8099
38,814.26526,847.16486
39,822.4902,853.7448
40,822.4902,857.0347
41,820.8452,850.4548300000001
42,835.65,853.7448
43,822.4902,855.3898
44,819.2002,853.7448
45,814.26526,853.7448
46,827.4251,858.67975
47,825.78015,850.4548300000001
48,819.2002,850.4548300000001
49,824.13513,850.4548300000001
50,820.8452,852.0998
51,830.7151,857.0347
52,822.4902,858.67975
53,832.36005,857.0347
54,819.2002,848.8099
55,814.26526,847.16486
56,815.9103,848.8099
57,830.7151,861.9697
58,819.2002,855.3898
59,819.2002,853.7448
60,820.8452,857.0347
61,817.55524,848.8099
62,820.8452,855.3898
63,819.2002,858.67975
64,827.4251,861.9697
65,819.2002,853.7448
66,819.2002,852.0998
67,815.9103,853.7448
68,819.2002,857.0347
69,820.8452,858.67975
70,817.55524,857.0347
71,824.13513,857.0347
72,814.26526,847.16486
73,817.55524,843.87494
74,822.4902,845.5199
75,814.26526,845.5199
76,819.2002,848.8099
77,827.4251,852.0998
78,822.4902,847.16486
79,830.7151,845.5199
80,822.4902,847.16486
81,830.7151,850.4548300000001
82,824.13513,857.0347
83,817.55524,852.0998
84,827.4251,852.0998
85,814.26526,852.0998
86,807.68536,852.0998
87,809.3303,848.8099
88,820.8452,855.3898
89,822.4902,852.0998
90,825.78015,848.8099
91,829.07007,855.3898
92,814.26526,850.4548300000001
93,825.78015,853.7448
94,829.07007,853.7448
95,834.005,857.0347
96,825.78015,848.8099
97,832.36005,850.4548300000001
98,817.55524,848.8099
99,817.55524,850.4548300000001
100,822.4902,852.0998
101,822.4902,852.0998
102,829.07007,848.8099
103,825.78015,847.16486
104,820.8452,847.16486
105,827.4251,850.4548300000001
106,822.4902,852.0998
107,822.4902,847.16486
108,835.65,852.0998
109,820.8452,847.16486
110,827.4251,853.7448
111,815.9103,852.0998
112,812.6203,850.4548300000001
113,812.6203,852.0998
114,814.26526,848.8099
115,824.13513,853.7448
116,817.55524,852.0998
117,827.4251,855.3898
118,817.55524,850.4548300000001
119,815.9103,853.7448
120,815.9103,857.0347
121,812.6203,855.3898
122,819.2002,857.0347
123,820.8452,857.0347
124,814.26526,858.67975
125,825.78015,858.67975
126,824.13513,863.6147
127,814.26526,861.9697
128,822.4902,857.0347
129,817.55524,861.9697
130,829.07007,861.9697
131,817.55524,857.0347
132,830.7151,861.9697
133,822.4902,858.67975
134,817.55524,855.3898
135,819.2002,853.7448
136,830.7151,861.9697
137,824.13513,861.9697
138,814.26526,860.3247
139,822.4902,858.67975
140,815.9103,857.0347
141,817.55524,858.67975
142,820.8452,860.3247
143,829.07007,860.3247
144,822.4902,865.25964
145,815.9103,866.9046599999999
146,820.8452,865.25964
147,822.4902,865.25964
148,827.4251,860.3247
149,817.55524,857.0347
150,827.4251,853.7448
151,815.9103,855.3898
152,812.6203,860.3247
153,820.8452,857.0347
154,824.13513,857.0347
155,810.9753,857.0347
156,812.6203,852.0998
157,815.9103,855.3898
158,820.8452,860.3247
159,822.4902,857.0347
160,825.78015,858.67975
161,827.4251,863.6147
162,814.26526,858.67975
163,820.8452,860.3247
164,819.2002,860.3247
165,819.2002,857.0347
166,810.9753,845.5199
167,820.8452,850.4548300000001
168,822.4902,850.4548300000001
169,824.13513,847.16486
170,830.7151,852.0998
171,812.6203,845.5199
172,825.78015,850.4548300000001
173,820.8452,852.0998
174,834.005,855.3898
175,824.13513,855.3898
176,825.78015,855.3898
177,814.26526,848.8099
178,809.3303,843.87494
179,819.2002,852.0998
180,810.9753,852.0998
181,832.36005,852.0998
182,824.13513,853.7448
183,814.26526,845.5199
184,825.78015,848.8099
185,829.07007,848.8099
186,822.4902,847.16486
187,835.65,853.7448
188,830.7151,855.3898
189,824.13513,857.0347
190,820.8452,858.67975
191,812.6203,847.16486
192,822.4902,848.8099
193,817.55524,850.4548300000001
194,822.4902,850.4548300000001
195,825.78015,857.0347
196,834.005,863.6147
197,825.78015,858.67975
198,822.4902,853.7448
199,820.8452,853.7448
200,817.55524,850.4548300000001
201,817.55524,850.4548300000001
202,830.7151,857.0347
203,825.78015,852.0998
204,822.4902,852.0998
205,835.65,855.3898
206,817.55524,852.0998
207,820.8452,855.3898
208,820.8452,850.4548300000001
209,830.7151,853.7448
210,819.2002,847.16486
211,820.8452,848.8099
212,820.8452,850.4548300000001
213,824.13513,852.0998
214,820.8452,852.0998
215,819.2002,848.8099
216,825.78015,857.0347
217,809.3303,852.0998
218,810.9753,850.4548300000001
219,812.6203,850.4548300000001
220,820.8452,848.8099
221,820.8452,847.16486
222,824.13513,850.4548300000001
223,829.07007,850.4548300000001
224,819.2002,850.4548300000001
225,820.8452,848.8099
226,822.4902,848.8099
227,827.4251,855.3898
228,819.2002,850.4548300000001
229,825.78015,853.7448
230,819.2002,853.7448
231,814.26526,847.16486
232,815.9103,847.16486
233,822.4902,855.3898
234,814.26526,857.0347
235,827.4251,863.6147
236,825.78015,858.67975
237,814.26526,852.0998
238,824.13513,855.3898
239,817.55524,855.3898
240,829.07007,861.9697
241,819.2002,853.7448
242,824.13513,853.7448
243,812.6203,847.16486
244,809.3303,843.87494
245,810.9753,853.7448
246,819.2002,857.0347
247,827.4251,858.67975
248,822.4902,855.3898
249,817.55524,855.3898
250,829.07007,853.7448
251,827.4251,857.0347
252,822.4902,853.7448
253,834.005,860.3247
254,815.9103,860.3247
255,819.2002,855.3898
256,814.26526,860.3247
257,807.68536,857.0347
258,814.26526,853.7448
259,825.78015,857.0347
260,819.2002,853.7448
261,814.26526,850.4548300000001
262,817.55524,853.7448
263,825.78015,853.7448
264,819.2002,853.7448
265,820.8452,855.3898
266,822.4902,852.0998
267,807.68536,852.0998
268,810.9753,853.7448
269,819.2002,850.4548300000001
270,825.78015,850.4548300000001
271,817.55524,852.0998
272,804.3954,850.4548300000001
273,815.9103,852.0998
274,820.8452,848.8099
275,817.55524,848.8099
276,817.55524,845.5199
277,819.2002,847.16486
278,827.4251,847.16486
279,825.78015,847.16486
280,825.78015,848.8099
281,830.7151,850.4548300000001
282,822.4902,850.4548300000001
283,819.2002,852.0998
284,834.005,857.0347
285,825.78015,855.3898
286,820.8452,850.4548300000001
287,819.2002,850.4548300000001
288,827.4251,848.8099
