,RAW_AF7,RAW_AF8
0,810.9753,847.16486
1,817.55524,852.0998
2,809.3303,848.8099
3,815.9103,850.4548300000001
4,815.9103,848.8099
5,819.2002,852.0998
6,815.9103,852.0998
7,817.55524,860.3247
8,829.07007,857.0347
9,825.78015,850.4548300000001
10,825.78015,855.3898
11,829.07007,845.5199
12,822.4902,850.4548300000001
13,817.55524,850.4548300000001
14,824.13513,855.3898
15,819.2002,845.5199
16,819.2002,845.5199
17,819.2002,845.5199
18,819.2002,845.5199
19,819.2002,845.5199
20,819.2002,845.5199
21,819.2002,853.7448
22,817.55524,852.0998
23,824.13513,855.3898
24,820.8452,858.67975
25,829.07007,865.25964
26,837.295,870.1946
27,824.13513,858.67975
28,822.4902,861.9697
29,812.6203,850.4548300000001
30,815.9103,852.0998
31,825.78015,853.7448
32,815.9103,852.0998
33,810.9753,850.4548300000001
34,815.9103,852.0998
35,810.9753,853.7448
36,825.78015,855.3898
37,825.78015,855.3898
38,825.78015,855.3898
39,825.78015,855.3898
40,825.78015,855.3898
41,825.78015,855.3898
42,824.13513,855.3898
43,819.2002,848.8099
44,814.26526,855.3898
45,806.04034,847.16486
46,819.2002,858.67975
47,820.8452,855.3898
48,829.07007,860.3247
49,830.7151,861.9697
50,820.8452,858.67975
51,812.6203,848.8099
52,817.55524,853.7448
53,814.26526,853.7448
54,817.55524,852.0998
55,830.7151,855.3898
56,820.8452,842.2299
57,820.8452,853.7448
58,810.9753,843.87494
59,812.6203,850.4548300000001
60,812.6203,853.7448
61,817.55524,855.3898
62,815.9103,850.4548300000001
63,815.9103,850.4548300000001
64,812.6203,857.0347
65,809.3303,852.0998
66,817.55524,863.6147
67,822.4902,858.67975
68,822.4902,865.25964
69,819.2002,858.67975
70,824.13513,860.3247
71,812.6203,852.0998
72,817.55524,858.67975
73,820.8452,857.0347
74,817.55524,858.67975
75,817.55524,858.67975
76,817.55524,858.67975
77,817.55524,858.67975
78,817.55524,858.67975
79,817.55524,858.67975
80,822.4902,857.0347
81,817.55524,848.8099
82,814.26526,850.4548300000001
83,819.2002,845.5199
84,822.4902,853.7448
85,815.9103,853.7448
86,822.4902,857.0347
87,825.78015,852.0998
88,834.005,863.6147
89,829.07007,853.7448
90,830.7151,860.3247
91,820.8452,860.3247
92,822.4902,855.3898
93,824.13513,857.0347
94,815.9103,850.4548300000001
95,825.78015,853.7448
96,825.78015,853.7448
97,825.78015,853.7448
98,825.78015,853.7448
99,825.78015,853.7448
100,825.78015,853.7448
101,817.55524,848.8099
102,822.4902,860.3247
103,817.55524,853.7448
104,832.36005,861.9697
105,829.07007,861.9697
106,820.8452,861.9697
107,829.07007,866.9046599999999
108,820.8452,858.67975
109,824.13513,860.3247
110,822.4902,857.0347
111,820.8452,858.67975
112,817.55524,860.3247
113,812.6203,861.9697
114,809.3303,857.0347
115,820.8452,858.67975
116,815.9103,858.67975
117,815.9103,858.67975
118,815.9103,858.67975
119,815.9103,858.67975
120,815.9103,858.67975
121,815.9103,858.67975
122,820.8452,855.3898
123,817.55524,853.7448
124,824.13513,860.3247
125,824.13513,853.7448
126,817.55524,852.0998
127,824.13513,857.0347
128,814.26526,848.8099
129,827.4251,863.6147
130,824.13513,855.3898
131,825.78015,858.67975
132,824.13513,855.3898
133,825.78015,858.67975
134,820.8452,858.67975
135,827.4251,860.3247
136,825.78015,860.3247
137,815.9103,853.7448
138,817.55524,858.67975
139,814.26526,848.8099
140,819.2002,858.67975
141,815.9103,855.3898
142,824.13513,857.0347
143,824.13513,850.4548300000001
144,825.78015,853.7448
145,820.8452,847.16486
146,822.4902,855.3898
147,822.4902,861.9697
148,824.13513,858.67975
149,824.13513,855.3898
150,824.13513,853.7448
151,825.78015,860.3247
152,825.78015,855.3898
153,825.78015,860.3247
154,825.78015,860.3247
155,825.78015,860.3247
156,825.78015,860.3247
157,825.78015,860.3247
158,825.78015,860.3247
159,822.4902,858.67975
160,827.4251,865.25964
161,829.07007,865.25964
162,824.13513,863.6147
163,824.13513,863.6147
164,829.07007,857.0347
165,825.78015,861.9697
166,817.55524,857.0347
167,820.8452,858.67975
168,812.6203,852.0998
169,817.55524,858.67975
170,809.3303,852.0998
171,817.55524,857.0347
172,820.8452,855.3898
173,812.6203,853.7448
174,815.9103,858.67975
175,814.2653,856.2122750000001
176,815.9103,858.67975
177,815.9103,858.67975
178,815.9103,858.67975
179,815.9103,858.67975
180,815.9103,858.67975
181,814.26526,855.3898
182,812.6203,863.6147
183,817.55524,861.9697
184,827.4251,860.3247
185,827.4251,857.0347
186,837.295,860.3247
187,825.78015,857.0347
188,830.7151,863.6147
189,824.13513,863.6147
190,820.8452,865.25964
191,819.2002,857.0347
192,822.4902,861.9697
193,829.07007,868.5496
194,820.8452,860.3247
195,820.8452,861.9697
196,806.04034,850.4548300000001
197,810.9753,853.7448
198,807.68536,848.8099
199,817.55524,860.3247
200,817.55524,858.67975
201,819.2002,858.67975
202,819.2002,853.7448
203,815.9103,850.4548300000001
204,819.2002,857.0347
205,827.4251,858.67975
206,827.4251,861.9697
207,825.78015,855.3898
208,832.36005,858.67975
209,829.07007,845.5199
210,825.78015,852.0998
211,822.4902,855.3898
212,822.4902,860.3247
213,822.4902,860.3247
214,822.4902,860.3247
215,822.4902,860.3247
216,822.4902,860.3247
217,822.4902,860.3247
218,815.9103,857.0347
219,822.4902,865.25964
220,827.4251,865.25964
221,822.4902,857.0347
222,829.07007,863.6147
223,812.6203,853.7448
224,822.4902,860.3247
